"ent_mun","indicador","2015","2016"
"22014","analfabeta",3.33,NA
"25001","analfabeta",3.33,NA
"26031","analfabeta",3.37,NA
"08004","analfabeta",3.38,NA
"14101","analfabeta",3.38,NA
"19044","analfabeta",3.41,NA
"19038","analfabeta",3.42,NA
"15017","analfabeta",3.43,NA
"14098","analfabeta",3.44,NA
"21041","analfabeta",3.44,NA
"01008","analfabeta",3.45,NA
"05020","analfabeta",3.46,NA
"05034","analfabeta",3.46,NA
"14044","analfabeta",3.46,NA
"15011","analfabeta",3.46,NA
"15076","analfabeta",3.46,NA
"21125","analfabeta",3.46,NA
"15092","analfabeta",3.47,NA
"30118","analfabeta",3.49,NA
"10001","analfabeta",3.5,NA
"21114","analfabeta",3.5,NA
"23001","analfabeta",3.5,NA
"08052","analfabeta",3.51,NA
"26029","analfabeta",3.51,NA
"08048","analfabeta",3.52,NA
"15100","analfabeta",3.52,NA
"20375","analfabeta",3.52,NA
"15098","analfabeta",3.54,NA
"26070","analfabeta",3.54,NA
"15089","analfabeta",3.55,NA
"08034","analfabeta",3.56,NA
"26035","analfabeta",3.57,NA
"20157","analfabeta",3.58,NA
"20227","analfabeta",3.58,NA
"15009","analfabeta",3.62,NA
"08016","analfabeta",3.63,NA
"15059","analfabeta",3.65,NA
"19045","analfabeta",3.65,NA
"19029","analfabeta",3.68,NA
"21119","analfabeta",3.7,NA
"26047","analfabeta",3.71,NA
"30206","analfabeta",3.71,NA
"08001","analfabeta",3.73,NA
"15070","analfabeta",3.73,NA
"29044","analfabeta",3.73,NA
"30138","analfabeta",3.73,NA
"08062","analfabeta",3.75,NA
"13076","analfabeta",3.75,NA
"01005","analfabeta",3.76,NA
"08058","analfabeta",3.76,NA
"08060","analfabeta",3.76,NA
"25006","analfabeta",3.76,NA
"26006","analfabeta",3.77,NA
"14002","analfabeta",3.79,NA
"05038","analfabeta",3.8,NA
"26032","analfabeta",3.8,NA
"05021","analfabeta",3.81,NA
"18008","analfabeta",3.81,NA
"26037","analfabeta",3.82,NA
"10038","analfabeta",3.83,NA
"15091","analfabeta",3.83,NA
"08002","analfabeta",3.84,NA
"10018","analfabeta",3.84,NA
"29038","analfabeta",3.84,NA
"15055","analfabeta",3.85,NA
"20390","analfabeta",3.85,NA
"15096","analfabeta",3.86,NA
"20192","analfabeta",3.86,NA
"32022","analfabeta",3.86,NA
"19008","analfabeta",3.87,NA
"20191","analfabeta",3.89,NA
"20067","analfabeta",3.9,NA
"26045","analfabeta",3.9,NA
"28003","analfabeta",3.9,NA
"10039","analfabeta",3.91,NA
"05001","analfabeta",3.92,NA
"13010","analfabeta",3.94,NA
"26010","analfabeta",3.94,NA
"26011","analfabeta",3.94,NA
"15075","analfabeta",3.95,NA
"29026","analfabeta",3.95,NA
"30087","analfabeta",3.95,NA
"08045","analfabeta",3.97,NA
"26016","analfabeta",3.97,NA
"20496","analfabeta",3.98,NA
"08025","analfabeta",3.99,NA
"08059","analfabeta",3.99,NA
"15106","analfabeta",3.99,NA
"05037","analfabeta",4,NA
"15062","analfabeta",4,NA
"29053","analfabeta",4,NA
"14036","analfabeta",4.01,NA
"20419","analfabeta",4.01,NA
"31059","analfabeta",4.01,NA
"10024","analfabeta",4.02,NA
"19051","analfabeta",4.03,NA
"26001","analfabeta",4.03,NA
"08013","analfabeta",4.05,NA
"08038","analfabeta",4.06,NA
"08055","analfabeta",4.06,NA
"09009","analfabeta",4.06,NA
"15095","analfabeta",4.06,NA
"25015","analfabeta",4.07,NA
"30131","analfabeta",4.07,NA
"10010","analfabeta",4.1,NA
"15120","analfabeta",4.1,NA
"20174","analfabeta",4.1,NA
"21140","analfabeta",4.1,NA
"23003","analfabeta",4.1,NA
"27004","analfabeta",4.1,NA
"01006","analfabeta",4.11,NA
"10004","analfabeta",4.11,NA
"28014","analfabeta",4.11,NA
"15060","analfabeta",4.12,NA
"17009","analfabeta",4.12,NA
"17011","analfabeta",4.14,NA
"20363","analfabeta",4.15,NA
"20338","analfabeta",4.16,NA
"26014","analfabeta",4.16,NA
"19005","analfabeta",4.17,NA
"26066","analfabeta",4.17,NA
"14030","analfabeta",4.18,NA
"13039","analfabeta",4.21,NA
"14082","analfabeta",4.21,NA
"26042","analfabeta",4.21,NA
"10030","analfabeta",4.22,NA
"16053","analfabeta",4.22,NA
"14023","analfabeta",4.23,NA
"18020","analfabeta",4.23,NA
"21122","analfabeta",4.23,NA
"15025","analfabeta",4.24,NA
